,metric,mask_method,mask_ratio,mask_threshold,auroc_score,aupr_score,fpr95
0,DMD,top_ratio,0.0,,0.5,0.75,0.95
1,DMD,top_ratio,0.05,,0.603496805,0.6164134659049969,0.8998
2,DMD,top_ratio,0.1,,0.64145961,0.6407671046138381,0.8688
3,DMD,top_ratio,0.15000000000000002,,0.666784775,0.6627772071327532,0.8505
4,DMD,top_ratio,0.2,,0.685315975,0.6792988894225189,0.8508
5,DMD,top_ratio,0.25,,0.703925885,0.6998642954706685,0.8373
6,DMD,top_ratio,0.30000000000000004,,0.7158669149999999,0.7121755408678289,0.8328
7,DMD,top_ratio,0.35000000000000003,,0.7260126800000001,0.7221966186476929,0.8244
8,DMD,top_ratio,0.4,,0.7359976599999999,0.7319080407047974,0.8111
9,DMD,top_ratio,0.45,,0.742815875,0.7378977888590335,0.8058
10,DMD,top_ratio,0.5,,0.749388835,0.7442586222287401,0.8006
11,DMD,top_ratio,0.55,,0.754603175,0.7497583660215619,0.7981
12,DMD,top_ratio,0.6000000000000001,,0.761576625,0.7566905033507949,0.7929
13,DMD,top_ratio,0.65,,0.76801093,0.76220946078113,0.7828
14,DMD,top_ratio,0.7000000000000001,,0.7755292599999999,0.7690118145568378,0.756
15,DMD,top_ratio,0.75,,0.781564195,0.7734744959821978,0.7373
16,DMD,top_ratio,0.8,,0.786391455,0.7772666208478006,0.7201
17,DMD,top_ratio,0.8500000000000001,,0.7941774399999999,0.7820169690564169,0.7
18,DMD,top_ratio,0.9,,0.8023326700000001,0.787806749145073,0.6711
19,DMD,top_ratio,0.9500000000000001,,0.8106396249999999,0.7925824570221084,0.6469
20,DMD,top_ratio,1.0,,0.8120999550000001,0.7948582551191462,0.648
21,DMD,bottom_ratio,0.0,,0.5,0.75,0.95
22,DMD,bottom_ratio,0.05,,0.527736125,0.5627135753423208,0.955
23,DMD,bottom_ratio,0.1,,0.551419115,0.5757654136111933,0.9369
24,DMD,bottom_ratio,0.15000000000000002,,0.572063655,0.5871060762648868,0.9231
25,DMD,bottom_ratio,0.2,,0.59454354,0.6012536603132577,0.906
26,DMD,bottom_ratio,0.25,,0.611264,0.6119635896139527,0.8912
27,DMD,bottom_ratio,0.30000000000000004,,0.629232385,0.6234506289554294,0.8788
28,DMD,bottom_ratio,0.35000000000000003,,0.6473784100000001,0.6352601144366322,0.8557
29,DMD,bottom_ratio,0.4,,0.664358065,0.6505301692085588,0.8447
30,DMD,bottom_ratio,0.45,,0.682250455,0.6648684186081036,0.8334
31,DMD,bottom_ratio,0.5,,0.697768545,0.6799168686906093,0.8192
32,DMD,bottom_ratio,0.55,,0.710137925,0.6928467233316153,0.8104
33,DMD,bottom_ratio,0.6000000000000001,,0.722375105,0.7039173270513028,0.8061
34,DMD,bottom_ratio,0.65,,0.73206067,0.7142509959383546,0.7984
35,DMD,bottom_ratio,0.7000000000000001,,0.741390645,0.7240807805797955,0.7898
36,DMD,bottom_ratio,0.75,,0.75020813,0.7329742356933728,0.7892
37,DMD,bottom_ratio,0.8,,0.76112545,0.7434579844559386,0.7795
38,DMD,bottom_ratio,0.8500000000000001,,0.7731364,0.7559692108002998,0.759
39,DMD,bottom_ratio,0.9,,0.7864552499999999,0.7686183507319683,0.7151
40,DMD,bottom_ratio,0.9500000000000001,,0.7976232350000001,0.7794112234118824,0.6838
41,DMD,bottom_ratio,1.0,,0.8120999550000001,0.7948582551191462,0.648
