,metric,mask_method,mask_ratio,mask_threshold,auroc_score,aupr_score,fpr95
0,DCMD,top_ratio,0.0,,0.5,0.75,0.95
1,DCMD,top_ratio,0.05,,0.7144557500000002,0.7448136760463354,0.8593
2,DCMD,top_ratio,0.1,,0.7719815999999999,0.7983142331299372,0.8108
3,DCMD,top_ratio,0.15000000000000002,,0.81229279,0.8347712063009469,0.7523
4,DCMD,top_ratio,0.2,,0.83926534,0.8583095691321652,0.6953
5,DCMD,top_ratio,0.25,,0.860170895,0.8764316529167127,0.6549
6,DCMD,top_ratio,0.30000000000000004,,0.8742047599999999,0.8881599837792681,0.6078
7,DCMD,top_ratio,0.35000000000000003,,0.88473442,0.8972924220180515,0.5696
8,DCMD,top_ratio,0.4,,0.8937187850000001,0.9052850579374828,0.5314
9,DCMD,top_ratio,0.45,,0.8998034350000002,0.9107423522292684,0.5195
10,DCMD,top_ratio,0.5,,0.9057729,0.9159613428862243,0.5021
11,DCMD,top_ratio,0.55,,0.9097373049999999,0.9189951585089633,0.4773
12,DCMD,top_ratio,0.6000000000000001,,0.91288212,0.9215360871892553,0.4572
13,DCMD,top_ratio,0.65,,0.91547168,0.9234606766598044,0.4554
14,DCMD,top_ratio,0.7000000000000001,,0.916609145,0.9244157157160349,0.448
15,DCMD,top_ratio,0.75,,0.9171664350000001,0.9249765925639507,0.4434
16,DCMD,top_ratio,0.8,,0.91693839,0.9244399671145562,0.4424
17,DCMD,top_ratio,0.8500000000000001,,0.916166875,0.9235283966008172,0.44
18,DCMD,top_ratio,0.9,,0.91371585,0.921482461700506,0.4416
19,DCMD,top_ratio,0.9500000000000001,,0.908593475,0.9177549987545488,0.4775
20,DCMD,top_ratio,1.0,,0.9442980700000001,0.9467305931945162,0.2813
21,DCMD,bottom_ratio,0.0,,0.5,0.75,0.95
22,DCMD,bottom_ratio,0.05,,0.63915253,0.6820340874059063,0.9193
23,DCMD,bottom_ratio,0.1,,0.66241063,0.7056287108737117,0.898
24,DCMD,bottom_ratio,0.15000000000000002,,0.6924971849999999,0.7371994898463843,0.8806
25,DCMD,bottom_ratio,0.2,,0.727746445,0.7703749504566402,0.8654
26,DCMD,bottom_ratio,0.25,,0.7641950499999999,0.8017385365249166,0.8325
27,DCMD,bottom_ratio,0.30000000000000004,,0.795558725,0.8271757013949763,0.7986
28,DCMD,bottom_ratio,0.35000000000000003,,0.823570905,0.8494264980206833,0.7462
29,DCMD,bottom_ratio,0.4,,0.847269555,0.868305982449276,0.7015
