,metric,mask_method,mask_ratio,mask_threshold,auroc_score,aupr_score,fpr95
0,DML,top_ratio,0.0,,0.5,0.75,0.95
1,DML,top_ratio,0.05,,0.712632085,0.7310962617535315,0.836
2,DML,top_ratio,0.1,,0.7611899550000001,0.7717021119784155,0.7768
3,DML,top_ratio,0.15000000000000002,,0.7967866849999999,0.8005722448129258,0.7155
4,DML,top_ratio,0.2,,0.8260400750000001,0.8268284154246297,0.6598
5,DML,top_ratio,0.25,,0.8486195299999999,0.8465963769302683,0.5983
6,DML,top_ratio,0.30000000000000004,,0.865394955,0.8629872217519923,0.5558
7,DML,top_ratio,0.35000000000000003,,0.88158111,0.8788228288851943,0.5082
8,DML,top_ratio,0.4,,0.8929004749999999,0.8901431208847251,0.4755
9,DML,top_ratio,0.45,,0.9028104400000001,0.9003286963648223,0.433
10,DML,top_ratio,0.5,,0.9098324449999999,0.9094451164380566,0.4198
11,DML,top_ratio,0.55,,0.915808585,0.9163222246965055,0.4043
12,DML,top_ratio,0.6000000000000001,,0.920237655,0.9213942967254617,0.3851
13,DML,top_ratio,0.65,,0.9238992199999998,0.9251265518502381,0.3685
14,DML,top_ratio,0.7000000000000001,,0.9262068450000001,0.9273603969217444,0.3601
15,DML,top_ratio,0.75,,0.9277131900000002,0.9294455926559134,0.3467
16,DML,top_ratio,0.8,,0.9290906800000001,0.9298364088776047,0.3364
17,DML,top_ratio,0.8500000000000001,,0.929780905,0.9302967979254297,0.3307
18,DML,top_ratio,0.9,,0.929421745,0.9300914665249754,0.3485
19,DML,top_ratio,0.9500000000000001,,0.9301111599999999,0.9307909047437193,0.3309
20,DML,top_ratio,1.0,,0.9404307299999999,0.9426380771623061,0.2906
21,DML,bottom_ratio,0.0,,0.5,0.75,0.95
22,DML,bottom_ratio,0.05,,0.6430405849999999,0.6818031490852899,0.9356
23,DML,bottom_ratio,0.1,,0.665279855,0.6996049008858941,0.9156
24,DML,bottom_ratio,0.15000000000000002,,0.68287838,0.7145658301147885,0.8851
25,DML,bottom_ratio,0.2,,0.699707815,0.7257879234904049,0.8547
26,DML,bottom_ratio,0.25,,0.7242288899999999,0.7403575777679875,0.8138
27,DML,bottom_ratio,0.30000000000000004,,0.74788428,0.757312908887217,0.7614
28,DML,bottom_ratio,0.35000000000000003,,0.77490996,0.778133683555813,0.7164
29,DML,bottom_ratio,0.4,,0.80236437,0.7998163813699668,0.661
30,DML,bottom_ratio,0.45,,0.82852696,0.8233714483293761,0.6024
31,DML,bottom_ratio,0.5,,0.8512023599999999,0.8451252201147021,0.5528
32,DML,bottom_ratio,0.55,,0.8675291,0.8628521239697121,0.5219
